#,שם העסק,תחום,אחוז/גובה ההטבה,ערים לפי הקובץ,פרסומת קצרה ומקצועית,אתר רשמי,כתובת + טלפון שאומתו,סטטוס אימות
80,משקפופר,אופטיקה,20%,בני ברק,"מבחר מסגרות, משקפי ראייה/שמש ועדשות, עם אפשרויות שמתאימות למגוון צרכים וסגנונות. שווה לבדוק את ההיצע לפני הרכישה.",,"המביט 4, ירושלים — 03-7948686 (המקור מציין שהמקום סגור לצמיתות; יש לאמת מול העסק לפני שימוש)",מאומת/נמצא
81,מתאים לי,נעליים,7%,ירושלים,"מבחר נעליים במגוון דגמים, עם אפשרויות שמתאימות לשימוש יומיומי ולאירועים. ההטבה הופכת את הקנייה לאטרקטיבית יותר.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
82,נטו חיסכון,מזון,3% לכסף שנטען על ידי ארגונים בלבד,אלעד,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",https://netohisahon.co.il/,"חושן משפט, ביתר עילית — 02-6499539",מאומת/נמצא
83,נעלי סטפס,נעליים,10% בכל קנייה; דרך מערכת מולטיפס,"אשדוד, ירושלים","מבחר נעליים במגוון דגמים, עם אפשרויות שמתאימות לשימוש יומיומי ולאירועים. ההטבה הופכת את הקנייה לאטרקטיבית יותר.",,"סוקולוב 31, הרצליה — 052-5968877",מאומת/נמצא
84,נעלי שכטר,נעליים,7% כולל כפל הנחות,בית שמש,"מבחר נעליים במגוון דגמים, עם אפשרויות שמתאימות לשימוש יומיומי ולאירועים. ההטבה הופכת את הקנייה לאטרקטיבית יותר.",,"יחזקאל הנביא 24, בית שמש — 02-6267307",מאומת/נמצא
85,נתי קלמן ביטוח,ביטוחים,30 ₪ למיליון לפוליסה זוגית בביטוח חיים; הרשמה באתר האיגוד,לא צוין,שירות בתחום הביטוח עם הטבה ייעודית למבוטחים במסגרת ההסדר. מומלץ לבדוק את התנאים המדויקים לפני הצטרפות.,,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
86,סלולארג',אלקטרוניק וסלולר,10%,בני ברק,"מבחר מוצרי סלולר ואלקטרוניקה לשימוש יומיומי, עם פתרונות פרקטיים ומגוון אפשרויות. ההטבה מוסיפה כדאיות לקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
87,ספרייתי גיטלר,ספרים,תשלום באמצעות הכרטיס וצבירת נקודות בלבד,לא צוין,"מבחר ספרים ורכישות תרבותיות, עם אפשרות לשלם באמצעות הכרטיס ולצבור נקודות בהתאם להסדר.",https://www.gitlerbooks.co.il/,"שלמה המלך 2, בני ברק — 03-5792612",מאומת/נמצא
88,סקובה,נעליים,100 ₪ הנחה לזוג על כל הדגמים,ירושלים,"מבחר נעליים במגוון דגמים, עם אפשרויות שמתאימות לשימוש יומיומי ולאירועים. ההטבה הופכת את הקנייה לאטרקטיבית יותר.",,"חגי 34, ירושלים — 02-5717737",מאומת/נמצא
89,סקול,בגדי ילדים,5% בכל קנייה; תשלום בכסף טעון בלבד,"בית שמש, בני ברק","מבחר אופנתי לילדים, עם פריטים שימושיים ומגוון לבחירה. ההטבה מוסיפה ערך לקנייה המשפחתית.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
90,עור והדר,תשמישי קדושה,100 ₪ הנחה בכיסוי טלית/תפילין; 100 ₪ בטלית גדול; 200 ₪ בסט מחזורים,"בני ברק, ירושלים","מבחר תשמישי קדושה ופריטים נלווים, עם דגש על בחירה מכובדת ומעשית. ההטבה מאפשרת לחסוך ברכישה.",,"מלכי ישראל 9, ירושלים — 02-5403379",מאומת/נמצא
91,פאקו מישל,נעליים,"10% בכל קנייה, לא כולל טבע נאות, כולל גרב מתנה","בני ברק, ירושלים","מבחר נעליים במגוון דגמים, עם אפשרויות שמתאימות לשימוש יומיומי ולאירועים. ההטבה הופכת את הקנייה לאטרקטיבית יותר.",https://www.pacomishel.co.il/,"מלכי ישראל 17, ירושלים — 02-5021256",מאומת/נמצא
92,פאר הרהיטים,ריהוט ומזרונים,5% על כלל הריהוט בחנות,לא צוין,"מבחר ריהוט ומזרונים לבית, עם אפשרויות למגוון חללים וצרכים. ההטבה יכולה להיות משמעותית במיוחד ברכישות גדולות.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
93,פביו,ביגוד גברים,5% כולל כפל מבצעים,"בני ברק, ירושלים","מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
94,פוד אפיל,קרמיקה תאורה וכלי בית,15% כולל כפל מבצעי חנות,לא צוין,מבחר פריטים לבית – מקרמיקה וכלי בית ועד תאורה – במקום אחד. מתאים למי שמעדכן או משדרג את הבית ורוצה לנצל את ההטבה.,,"ירמיהו 24, ירושלים — 058-5366060",מאומת/נמצא
95,פיומה,ביגוד גברים,"מחירון חליפות מיוחד, עם חיסכון של כ-42%-43% בחלק מהדגמים",ירושלים,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,"חגי 29, ירושלים — 055-5696893",מאומת/נמצא
96,פינת הגלידה,מזון,10%,"אלעד, בית שמש","מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,"מרכז רימונים, אהרונוביץ 12, בני ברק — 03-5782468",מאומת/נמצא
97,פיצה שמש,מזון,9% בתשלום בכסף טעון בלבד,"אופקים, אור יהודה","מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",https://pizza-shemesh.co.il/,"חגי 16, ירושלים — מספר לא הוצג במקור המאומת; לרשת יש מוקד 1700-709700",מאומת/נמצא
98,פמילי פאשן,ביגוד נשים,5% בכל קנייה + צבירת נקודות,בני ברק,"מבחר פריטי אופנה לנשים, עם דגמים שמתאימים למלתחה היומיומית ולאירועים. מקום שכדאי לבדוק לפני רכישה.",https://www.malaya.co.il/,"אהרונוביץ 20 פינת הושע, בני ברק — 03-9099885",מאומת/נמצא
99,פרסטר,כובעים,100 ₪ הנחה לכל הכובעים,"אשדוד, בית שמש","מבחר כובעים בסגנונות קלאסיים ומעודכנים, עם דגש על התאמה נכונה למראה ולשימוש. ההטבה הופכת את הקנייה לכדאית במיוחד.",https://fersterhats.com/,ירושלים: מאה שערים 11; בני ברק: חזון איש 19; אשדוד: רבי יוסי בר חלפתא 1; מודיעין עילית: שדה חמד 1; בית שמש: נחל שורק 33 — מוקד 02-5000-640,מאומת/נמצא
100,צ'ירינה,מזון,3% בכל עסקה כולל כפל מבצעים,בני ברק,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,טלפון שאותר: 03-5703383; כתובת לא הוצגה במקור המאומת,מאומת/נמצא
101,צולנט עולמי,מזון,5 ₪ הנחה על 70 ₪ הראשונים; מעל 70 ₪ – 15%,בית שמש,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,"כנפי נשרים 68, ירושלים — 02-9991000",מאומת/נמצא
102,צולנט עולמי - ירושלים,מזון,5 ₪ הנחה על 70 ₪ הראשונים; מעל 70 ₪ – 15%,ירושלים,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
103,צרכניית אחיעזר,מזון,תשלום בכסף צבור בכרטיס + צבירת נקודות,בני ברק,"מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,"אבני נזר 3, בני ברק — 03-5797490",מאומת/נמצא
104,קינדר טויס,כלי כתיבה וצעצועים,"10% בכל רכישה; באתר קוד ""קהילות10""; לא כולל ריהוט",בני ברק,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",https://kindertoys.co.il/,"הרב יעקב לנדא 7, בני ברק — 058-5293383",מאומת/נמצא
105,קלאס מן,נעליים,10% על כל הנעליים,בני ברק,"מבחר נעליים במגוון דגמים, עם אפשרויות שמתאימות לשימוש יומיומי ולאירועים. ההטבה הופכת את הקנייה לאטרקטיבית יותר.",,"רבי עקיבא 158, בני ברק — 055-6775290",מאומת/נמצא
106,רפאלי - כל הסניפים,חשמל,8% עד 500 ₪,"אלעד, בית שמש","מבחר מוצרי חשמל ופתרונות לבית, עם אפשרויות ממוקדות לצרכים שונים. שווה לבדוק את ההטבה לפני רכישה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
107,רפאלי - רבי עקיבא,חשמל,8% עד 500 ₪,בני ברק,"מבחר מוצרי חשמל ופתרונות לבית, עם אפשרויות ממוקדות לצרכים שונים. שווה לבדוק את ההטבה לפני רכישה.",https://refaeli.co.il/,"רבי עקיבא 115, בני ברק — 03-5705941",מאומת/נמצא
108,רקורד,ביגוד גברים,"מחירי חליפות מיוחדים, לפי דגמים","בית שמש, בני ברק","מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,"עזרא ילדוד 3, ירושלים — 077-4060090",מאומת/נמצא
109,שהחיינו קולורס,ביגוד נשים,7% בכסף טעון בלבד,"בית שמש, בני ברק","מבחר פריטי אופנה לנשים, עם דגמים שמתאימים למלתחה היומיומית ולאירועים. מקום שכדאי לבדוק לפני רכישה.",,"ירמיהו 9, ירושלים / עזרא 45, בני ברק — 02-5375943",מאומת/נמצא
110,שוזים,נעליים,10% במעמד התשלום דרך מערכת מולטיפס,"אשדוד, בני ברק","מבחר נעליים במגוון דגמים, עם אפשרויות שמתאימות לשימוש יומיומי ולאירועים. ההטבה הופכת את הקנייה לאטרקטיבית יותר.",,"כהנמן 90, בני ברק; רבי עקיבא 55, בני ברק; יהודה הנשיא 10, אשדוד — 072-33-70-770",מאומת/נמצא
111,שטיין יודאיקה,תשמישי קדושה,8% בכל רכישה כולל כפל,בני ברק,"מבחר תשמישי קדושה ופריטים נלווים, עם דגש על בחירה מכובדת ומעשית. ההטבה מאפשרת לחסוך ברכישה.",https://steinjudaica.co.il/,"מהרש""ל 1, בני ברק — 03-5668788",מאומת/נמצא
112,שיא החשמל והמיזוג,חשמל,3% לכסף טעון בלבד; מתעדכן ביתרה לאחר התשלום,"אלעד, אשדוד","מבחר מוצרי חשמל ופתרונות לבית, עם אפשרויות ממוקדות לצרכים שונים. שווה לבדוק את ההטבה לפני רכישה.",,"כנפי נשרים 15, ירושלים — 077-3510710",מאומת/נמצא
113,שיק מן,ביגוד גברים,10%,ירושלים,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,"רבי עקיבא 139, בני ברק — טלפון לא הוצג במקור המאומת",מאומת/נמצא
114,שפע סטוק - בני ברק,כללי,8%,בני ברק,"מבחר מוצרים לצריכה שוטפת ולבית, עם אפשרות לנצל את ההטבה בקנייה במסגרת ההסדר.",,"מצדה 10, בני ברק — 03-5188655",מאומת/נמצא
115,תכשיטי שנרך,תכשיטים,7% בכל רכישה,לא צוין,"מבחר תכשיטים לבחירה, מתאים למי שמחפש פריט אישי או מתנה. כדאי לנצל את ההטבה בקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
116,תכשיק,תכשיטים ושעונים,10%,"אלעד, אשדוד","מבחר תכשיטים ושעונים בסגנונות שונים, מתאים למי שמחפש פריט שימושי או מתנה. כדאי לבדוק את ההטבה לפני הרכישה.",,"שמגר 16, ירושלים — 1-700-700-976",מאומת/נמצא
117,תת האמוראים,ביגוד גברים,10% על כל החנות למעט חולצות; בקניית חולצה – זוג גרביים מתנה,בית שמש,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
